Position,Track Name,Artist,Streams,URL,country
49,em bỏ hút thuốc chưa?,Bich Phuong,80345,https://open.spotify.com/track/2IDZxVWQypWxYIP6wqDzGN,Vietnam
50,Hoa Hải Đường,Jack - J97,78133,https://open.spotify.com/track/0J2otOvMdg62gVMMjwOvSK,Vietnam
51,Dân Chơi Xóm (feat. RPT MCK & JustaTee),RAP VIỆT,73195,https://open.spotify.com/track/1pQHqk6qWM5xbNeobMCGBZ,Vietnam
52,Muốn Nói Với Em,T Team,71798,https://open.spotify.com/track/1HDrKXya87GMQfAGPlqNS9,Vietnam
53,Lời Đường Mật,Lyly,68386,https://open.spotify.com/track/4yAJOZ8ZBAKfXCI20hsVjf,Vietnam
54,Và Thế Là Hết,Chillies,67001,https://open.spotify.com/track/0Bk064jKjWtfdOD8UkcImR,Vietnam
55,nàng thơ... trời giấu trời mang đi,AMEE,64074,https://open.spotify.com/track/1PSmJr2mHzDjYXrKvQPKb0,Vietnam
56,Internet Love,hnhngan,62815,https://open.spotify.com/track/2rGCYAabfA63PIzhQm7hVq,Vietnam
57,Memories,Maroon 5,59464,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,Vietnam
58,Anyone,Justin Bieber,59455,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4,Vietnam
59,death bed (coffee for your head),Powfu,59434,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,Vietnam
60,LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,58843,https://open.spotify.com/track/7AzGrpsT9kTI6OUdMXlHWe,Vietnam
61,Heartbreak Anniversary,Giveon,58801,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,Vietnam
62,Intentions (feat. Quavo),Justin Bieber,58751,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,Vietnam
63,Hãy Trao Cho Anh,Sơn Tùng M-TP,57193,https://open.spotify.com/track/0f5yQttJS5nNxRAleF4kZO,Vietnam
64,yêu thì yêu không yêu thì yêu,AMEE,56837,https://open.spotify.com/track/79xFFmGKtEyky0I2G9U9Jg,Vietnam
65,How You Like That,BLACKPINK,56456,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,Vietnam
66,2002,Anne-Marie,53138,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,Vietnam
67,Mượn Rượu Tỏ Tình,BigDaddy,52399,https://open.spotify.com/track/3TXSdTpaqKBpWyUG3aJ3LK,Vietnam
